id	emotion
34170_0002_A_12	0.10313348472118378,0.052659377455711365,0.025928422808647156,-0.003932732157409191,0.13723544776439667,0.15478703379631042
34170_0002_A_14	0.06574985384941101,0.03799836337566376,0.005020693875849247,0.040765758603811264,0.09617897123098373,0.1445319801568985
34170_0003_A_16	0.043269816786050797,0.08551815152168274,-0.021670036017894745,0.03910345956683159,0.08824383467435837,0.1341952383518219
34170_0003_A_17	0.31359174847602844,0.05524451285600662,0.09950211644172668,0.07774971425533295,0.035206981003284454,0.8921741247177124
34170_0003_A_18	0.10439497232437134,0.03827241063117981,0.04736548289656639,0.11632171273231506,0.332642525434494,0.505855143070221
34170_0003_A_20	0.05269351974129677,-0.0032799560576677322,0.06418111175298691,0.007252869196236134,0.1015222892165184,1.2896243333816528
34170_0003_A_21	0.06336992979049683,0.056602902710437775,-0.0032129986211657524,0.054735880345106125,0.10647103935480118,0.28094959259033203
34170_0004_A_24	0.06704232096672058,0.05712168663740158,0.07390841841697693,-0.012102740816771984,0.12800972163677216,0.13887441158294678
34170_0004_A_25	0.6840407252311707,0.2872386872768402,0.09063491225242615,0.01435342151671648,0.030268823727965355,0.5454860329627991
34170_0004_A_26	0.46719151735305786,0.1392212063074112,0.050004132091999054,-0.003769967006519437,0.05988871306180954,0.5327985882759094
34170_0004_A_27	0.03891434147953987,0.05365084111690521,0.05074935406446457,0.01597728207707405,0.1435459703207016,0.113588847219944
34170_0004_A_28	0.3047865331172943,-0.0034604910761117935,0.028233155608177185,0.2638259828090668,0.2398006170988083,0.5119829177856445
34170_0005_A_31	0.09258902072906494,0.09740688651800156,-0.0031341547146439552,0.0006359710823744535,0.07643354684114456,0.2917661666870117
34170_0005_A_33	0.06678178906440735,0.03598887473344803,0.04472702741622925,0.025931093841791153,0.08232180029153824,0.19462329149246216
34170_0005_A_35	0.014778975397348404,0.010595707222819328,0.005320747382938862,0.07434190809726715,0.09131314605474472,0.22819729149341583
34170_0004_A_29	0.08266301453113556,-0.08089927583932877,0.02565363049507141,0.014496264047920704,0.3823690414428711,1.61065673828125
34170_0005_A_34	0.4265586733818054,0.04594598710536957,0.11010187119245529,0.02248578891158104,0.09226172417402267,1.6394392251968384
34170_0005_A_36	0.1461935043334961,0.11595845222473145,0.019796118140220642,0.047566574066877365,0.05068337172269821,0.18224641680717468
