id	emotion
34170_0002_A_12	0.01601913447181384,0.02209968927005927,0.02404109264413516,0.006035880496104558,0.06381869316101074,0.11842815577983856
34170_0002_A_14	0.01784306640426318,0.01209531600276629,0.020839350298047066,0.035866731156905494,0.07682945827643077,0.08832955608765285
34170_0003_A_16	0.005734843512376149,0.03548842358092467,0.012139810249209404,0.04440161151190599,0.07003653856615226,0.07682592421770096
34170_0003_A_17	0.08583639810482661,0.03194331067303816,0.06375864644845326,0.07726627091566722,0.1405762086311976,0.6153430789709091
34170_0003_A_18	0.023125992467006046,-0.0010877853880325954,0.02557201807697614,0.1648717395340403,0.12828987340132395,0.3215782741705577
34170_0003_A_20	0.07670506959160169,0.01600984049340089,0.14695565899213156,0.03348014038056135,0.16631038983662924,1.0021562973658245
34170_0003_A_21	0.015422803660233816,0.011234487717350325,0.03763754293322563,0.021213041618466377,0.0723721981048584,0.11751466989517212
34170_0004_A_24	0.1844928190112114,0.053190636138121285,0.036378237729271255,0.011934823201348385,0.06516872718930244,0.08928746357560158
34170_0004_A_25	0.47590574622154236,0.21351264417171478,0.0123039943476518,-0.021315280037621658,0.07616755987207095,0.31224560737609863
34170_0004_A_26	0.35187644759813946,0.152288685242335,0.016756601631641388,-0.022546010712782543,0.08790238201618195,0.38894755641619366
34170_0004_A_27	0.02834234635035197,0.02794720356663068,0.03773805436988672,0.01613551067809264,0.067143930743138,0.05441271513700485
34170_0004_A_28	0.06267485146721204,0.010000941654046377,0.03034903419514497,0.17757373551527658,0.13151749471823374,0.24086121718088785
34170_0005_A_31	0.12313277771075566,0.15118543803691864,0.045980957647164665,0.0007195767636100451,0.05996442213654518,0.25651807834704715
34170_0005_A_33	0.016192954654494923,0.046801695600152016,0.05307207815349102,0.03990201155344645,0.067318394780159,0.11167488992214203
34170_0005_A_35	0.020683583493034046,0.01047201082110405,0.052344138423601784,0.06590892219295104,0.08406064411004384,0.12181075165669124
34170_0004_A_29	0.0881473496556282,0.011281160327295462,0.04532654210925102,0.055978825936714806,0.21001158157984415,0.719847708940506
34170_0005_A_34	0.3200732469558716,0.23929394533236822,0.02673066663555801,0.0877636546889941,0.07923843959967296,0.4850923915704091
34170_0005_A_36	0.023039144774278004,0.053686788926521935,0.021390389651060104,0.0739398921529452,0.05069777245322863,0.07134171326955159
34170_0005_A_32	0.01892138769229253,0.03719641144076983,0.006103698164224625,0.02039490795383851,0.05002292369802793,0.04947473046680292
34170_0007_A_42	0.027008050431807835,0.03625085080663363,0.019352460280060768,-0.004015784710645676,0.08172502368688583,0.26531686385472614
34170_0007_A_43	0.0010268955181042354,0.02378363162279129,8.641680081685384e-05,0.010996936820447445,0.09047291427850723,0.048013582825660706
34170_0007_A_44	0.10585566610097885,0.017750838150580723,0.08984027057886124,0.027640776087840397,0.11663543929656346,1.1686522960662842
34170_0007_A_45	0.0035818579296271005,0.030768608053525288,0.09003408874074618,0.01672940111408631,0.12036011864741643,0.06767622878154118
34170_0007_A_46	0.26313554247220355,1.2596052487691243,0.20697670181592306,0.020114560921986897,0.06349589924017589,0.19818483293056488
34170_0007_A_47	0.009336421266198158,0.017030998443563778,0.014395197232564291,0.06488006313641866,0.06352769335110982,0.14688507467508316
34170_0008_A_49	0.024817251910765965,0.031240429108341534,0.013483762120207151,0.009702166464800635,0.046839610363046326,0.0783790573477745
34170_0008_A_50	0.012320887297391891,0.02344828099012375,0.0034816854943831763,0.003953452532490094,0.07105830932656924,0.07171053563555081
34170_0008_A_51	0.07761457438270251,0.17542695005734762,0.016358063245813053,0.016085203116138775,0.04955540100733439,0.07999356836080551
34170_0009_A_54	0.014878859122594198,0.02178356796503067,0.0010160778959592183,0.006023079467316468,0.06607264652848244,0.037685499216119446
34170_0009_A_56	-0.007782984524965286,0.01939476653933525,0.01503983015815417,0.65668652455012,0.20894660552342734,0.15588630239168802
34170_0009_A_58	0.026119158913691837,0.010533188780148825,0.020264916820451617,0.019507783465087414,0.05243766183654467,0.0744190588593483
34170_0009_A_59	-0.0028373574217160544,0.02031893841922283,0.027975684652725857,0.0365153718739748,0.06177657594283422,0.08942885448535283
34170_0009_A_60	0.01414314036568006,0.036534772564967476,0.010734189301729202,0.01570264552719891,0.08649153262376785,0.05301828496158123
34170_0009_A_61	0.03847170745333036,0.09877848376830418,0.03142015139261881,0.03399021954586109,0.06540100773175557,0.16258735954761505
34170_0009_A_62	0.021597982694705326,0.03906621101001898,0.012271537135044733,0.003267937029401461,0.09047244675457478,0.0522655559082826
34170_0009_A_63	0.03044505665699641,0.049139284839232765,0.011871860673030218,0.003341070997218291,0.09413410723209381,0.040348198264837265
34170_0009_A_64	0.0317552350461483,0.018251603469252586,0.035782319183150925,0.02478743779162566,0.061488459507624306,0.17918751140435538
34170_0010_A_66	0.03797722359498342,0.06080613285303116,0.004810312141974767,0.009577092714607716,0.04129727433125178,0.03627436421811581
34170_0010_A_67	0.010304417461156845,0.03829209879040718,0.003019136687119802,0.0041046664118766785,0.049306885649760566,0.04025322198867798
34170_0011_A_71	0.04314522072672844,0.05414039144913355,0.03377766783038775,0.012128754208485285,0.5129027118285497,0.019788602056602638
34170_0011_A_74	0.013998191803693771,0.03504268266260624,0.01650109887123108,-0.003630526984731356,0.07689496129751205,0.07713350156943004
34170_0011_A_76	0.027710098773241043,0.03840014214317004,0.04933114474018415,0.02365715087701877,0.27029787252346676,0.06014276792605718
34170_0011_A_78	0.09839993466933568,0.0345989391207695,0.014822284380594889,0.037056924775242805,0.0632041444381078,0.09507547815640767
34170_0011_A_80	0.09114174544811249,0.03222731997569402,0.020792342722415924,0.023524665584166844,0.09100386748711269,0.20279622574647269
34170_0011_A_81	0.018594122181336086,0.03190406784415245,0.039058979600667953,0.02181789589424928,0.07263820866743724,0.06411004314819972
34170_0012_A_83	0.01009831577539444,0.024198732028404873,-0.004291031509637833,0.0011237962171435356,0.06533726428945859,0.04743062394360701
